SrNo,Year,Blast_Day_Type,City,Latitude,Longitude,Province,Location_Sensitivity,Space_Type,Targeted_Sect,Killed,Injured,No_of_suicide_blasts,Explosive_Wt_Kg,Temperature_C,
1,1995,Holiday,Islamabad,33.7180,73.0718,Capital,High,Closed,,15,,2,,15.84,
2,2000,Working Day,Karachi,24.9918,66.9911,Sindh,Low,Closed,,3,,1,,23.77,
3,2002,Working Day,Karachi,24.9918,66.9911,Sindh,Medium,Closed,Christian,15,20,1,2.5,31.46,
4,2002,Working Day,Karachi,24.9918,66.9911,Sindh,High,Closed,Christian,12,,1,,31.43,
5,2003,Working Day,Quetta,30.2095,67.0182,Balochistan,Medium,Closed,Shiite,47,,1,,33.12,
6,2003,Holiday,Rawalpindi,33.6058,73.0437,Punjab,Low,Open,,18,,2,30,9.45,
7,2004,Working Day,Rawalpindi,33.6058,73.0437,Punjab,Medium,Closed,shiite,1,3,1,,15.28,
8,2004,Working Day,Karachi,24.9918,66.9911,Sindh,Medium,Closed,shiite,15,96,1,2,33.86,
9,2004,Working Day,Karachi,24.9918,66.9911,Sindh,Medium,Closed,Shiite,18,,1,,31.61,
10,2004,Working Day,North waziristan,32.9746,70.1456,FATA,High,Open,,2,,1,,27.18,
11,2004,Working Day,Kohat,33.5833,71.4333,KPK,High,Closed,,3,,2,,32.43,
12,2004,Working Day,Attock,33.7645,72.3667,Punjab,Low,Open,,7,44,1,,26.67,
13,2004,Working Day,Sialkot,32.4972,74.5361,Punjab,Medium,Closed,shiite,31,50,1,,27.51,
14,2004,Holiday,Lahore,31.5451,74.3407,Punjab,Medium,Closed,shiite,5,6,1,,24.39,
15,2005,Working Day,Quetta,30.2095,67.0182,Balochistan,Medium,Closed,Shiite,50,8,1,,16.50,
16,2005,Working Day,Swat,35.2227,72.4258,KPK,Low,Open,,2,,1,,19.94,
17,2005,Working Day,Islamabad,33.7180,73.0718,Capital,Medium,Closed,Shiite_sunni,25,82,1,,27.16,
18,2005,Working Day,Karachi,24.9918,66.9911,Sindh,Medium,Closed,shiite,6,19,1,,31.95,
19,2006,Holiday,Hangu,33.5351,71.0713,KPK,Low,Open,Shiite,40,90,1,,15.50,
20,2006,Working Day,Karachi,24.9918,66.9911,Sindh,Medium,Open,Christian,5,30,1,15,25.30,
21,2006,Holiday,Karachi,24.9918,66.9911,Sindh,Medium,Open,Sunni,57,,1,5,28.42,
22,2006,Working Day,Bannu,32.9861,70.6042,KPK,High,Open,,7,7,1,,26.13,
23,2006,Working Day,North Waziristan,32.9746,70.1456,FATA,High,Open,,7,,1,,28.61,
24,2006,Holiday,Lasbela,25.8377,66.5224,Balochistan,Low,Open,,1,,1,,27.50,
25,2006,Working Day,Malakand ,34.5030,71.9046,KPK,High,Open,,42,20,1,,19.21,
26,2006,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,1,,1,,17.28,
27,2006,Holiday,Bannu,32.9861,70.6042,KPK,High,Open,,1,,1,,4.71,
28,2007,Working Day,North Waziristan,32.9746,70.1456,FATA,High,Open,,5,23,1,,2.33,
29,2007,Working Day,Islamabad,33.7180,73.0718,Capital,Medium,Closed,,2,5,1,,16.30,
30,2007,Working Day,Peshawar,34.0043,71.5448,KPK,Medium,Closed,shiite,15,30,1,,15.17,
31,2007,Holiday,D.G Khan,31.8238,70.9095,KPK,High,Open,shiite,3,,1,,17.75,
32,2007,Working Day,Lakki Marwat,32.6018,70.9148,KPK,Low,Open,,1,,1,,17.52,
33,2007,Working Day,Tank,31.8238,70.9095,KPK,High,Open,,2,7,1,,19.94,
34,2007,Working Day,Islamabad,33.7180,73.0718,Capital,High,Open,,1,3,1,,16.64,
35,2007,Working Day,Quetta,30.2095,67.0182,Balochistan,High,Closed,,17,30,1,,8.72,
36,2007,Working Day,Gujrat,32.5737,74.0786,Punjab,High,Open,,2,6,1,,25.60,
37,2007,Working Day,Charsadda,34.1509,71.7359,KPK,Low,Open,,35,29,1,,28.06,
38,2007,Working Day,Peshawar,34.0043,71.5448,KPK,Medium,Closed,Sunni,26,12,1,,31.10,
39,2007,Working Day,Tank,32.2260,70.3761,KPK,High,Open,,3,,1,,24.94,
40,2007,Working Day,North Waziristan,32.9746,70.1456,FATA,High,Open,,10,9,1,,26.98,
41,2007,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,7,4,1,,31.74,
